iter	Passed	Remaining
0	0	401
1	0	393
2	1	388
3	1	363
4	1	345
5	2	338
6	2	335
7	2	328
8	3	335
9	3	329
10	3	324
11	3	322
12	4	320
13	4	316
14	4	316
15	5	313
16	5	310
17	5	308
18	5	305
19	6	303
20	6	301
21	6	300
22	7	299
23	7	299
24	7	298
25	7	298
26	8	297
27	8	295
28	8	294
29	9	294
30	9	293
31	9	293
32	9	292
33	10	291
34	10	290
35	10	290
36	11	291
37	11	291
38	11	290
39	12	289
40	12	290
41	12	289
42	13	289
43	13	288
44	13	287
45	13	286
46	14	285
47	14	286
48	14	287
49	15	286
50	15	286
51	15	285
52	16	287
53	16	286
54	16	285
55	16	284
56	17	283
57	17	283
58	17	282
59	17	281
60	18	281
61	18	280
62	18	279
63	19	279
64	19	278
65	19	279
66	20	282
67	20	281
68	20	281
69	21	280
70	21	280
71	21	279
72	21	278
73	22	278
74	22	277
75	22	276
76	23	276
77	23	275
78	23	275
79	23	274
80	24	275
81	24	275
82	24	272
83	24	272
84	25	271
85	25	271
86	25	271
87	26	270
88	26	271
89	26	271
90	27	270
91	27	270
92	27	269
93	27	269
94	28	269
95	28	269
96	28	268
97	29	268
98	29	268
99	29	267
100	30	267
101	30	267
102	30	267
103	30	266
104	31	266
105	31	265
106	31	265
107	32	264
108	32	264
109	32	263
110	32	263
111	33	263
112	33	262
113	33	261
114	33	261
115	34	260
116	34	260
117	34	259
118	35	260
119	35	261
120	35	260
121	36	259
122	36	259
123	36	259
124	37	259
125	37	258
126	37	257
127	37	257
128	38	256
129	38	256
130	38	256
131	38	255
132	39	255
133	39	254
134	39	254
135	39	254
136	40	254
137	40	253
138	40	253
139	41	252
140	41	252
141	41	251
142	41	250
143	42	250
144	42	249
145	42	249
146	42	248
147	43	248
148	43	247
149	43	247
150	43	247
151	44	246
152	44	246
153	44	245
154	45	245
155	45	245
156	45	244
157	45	244
158	46	244
159	46	243
160	46	243
161	46	242
162	47	242
163	47	242
164	47	242
165	48	241
166	48	241
167	48	240
168	48	240
169	49	240
170	49	240
171	49	239
172	50	239
173	50	239
174	50	238
175	50	238
176	51	238
177	51	238
178	51	238
179	52	237
180	52	237
181	52	237
182	53	237
183	53	236
184	53	236
185	53	236
186	54	235
187	54	235
188	54	235
189	55	234
190	55	234
191	55	234
192	55	234
193	56	233
194	56	233
195	56	232
196	57	232
197	57	232
198	57	232
199	57	231
200	58	231
201	58	231
202	58	231
203	59	230
204	59	230
205	59	230
206	59	229
207	60	229
208	60	229
209	60	228
210	61	228
211	61	228
212	61	228
213	62	227
214	62	227
215	62	227
216	62	226
217	63	226
218	63	226
219	63	225
220	63	225
221	64	225
222	64	224
223	64	224
224	65	224
225	65	223
226	65	223
227	66	223
228	66	223
229	66	222
230	66	222
231	67	222
232	67	222
233	67	222
234	68	221
235	68	221
236	68	221
237	68	220
238	69	220
239	69	220
240	69	219
241	70	219
242	70	219
243	70	219
244	71	218
245	71	218
246	71	218
247	71	218
248	72	218
249	72	217
250	72	217
251	73	217
252	73	216
253	73	216
254	73	216
255	74	215
256	74	215
257	74	214
258	75	214
259	75	214
260	75	213
261	75	213
262	76	213
263	76	212
264	76	212
265	76	212
266	77	212
267	77	211
268	77	211
269	78	211
270	78	210
271	78	210
272	78	210
273	79	209
274	79	209
275	79	209
276	79	208
277	80	208
278	80	208
279	80	207
280	81	207
281	81	207
282	81	207
283	82	206
284	82	207
285	82	206
286	83	206
287	83	206
288	83	205
289	83	205
290	84	205
291	84	204
292	84	204
293	84	203
294	85	203
295	85	203
296	85	203
297	86	202
298	86	202
299	86	202
300	86	201
301	87	201
302	87	201
303	87	201
304	88	200
305	88	200
306	88	200
307	88	199
308	89	199
309	89	199
310	89	198
311	90	198
312	90	198
313	90	197
314	90	197
315	91	197
316	91	197
317	91	196
318	92	196
319	92	196
320	92	195
321	92	195
322	93	195
323	93	194
324	93	194
325	94	194
326	94	194
327	94	193
328	94	193
329	95	193
330	95	192
331	95	192
332	95	192
333	96	191
334	96	191
335	96	191
336	97	190
337	97	190
338	97	190
339	97	190
340	98	189
341	98	189
342	99	189
343	99	189
344	99	189
345	99	188
346	100	188
347	100	188
348	100	187
349	100	187
350	101	187
351	101	186
352	101	186
353	101	186
354	102	185
355	102	185
356	102	185
357	103	185
358	103	184
359	103	184
360	104	184
361	104	183
362	104	183
363	104	183
364	105	183
365	105	182
366	105	182
367	106	182
368	106	181
369	106	181
370	106	181
371	107	181
372	107	180
373	107	180
374	108	180
375	108	179
376	108	179
377	109	179
378	109	179
379	109	178
380	110	178
381	110	178
382	110	178
383	110	177
384	111	177
385	111	177
386	111	177
387	112	176
388	112	176
389	112	176
390	113	176
391	113	176
392	113	175
393	114	175
394	114	175
395	114	174
396	114	174
397	115	174
398	115	174
399	115	173
400	116	173
401	116	173
402	116	173
403	117	172
404	117	172
405	117	172
406	117	171
407	118	171
408	118	171
409	118	170
410	119	170
411	119	170
412	119	170
413	119	169
414	120	169
415	120	169
416	120	168
417	121	168
418	121	168
419	121	168
420	121	167
421	122	167
422	122	167
423	122	166
424	123	166
425	123	166
426	123	166
427	124	165
428	124	165
429	124	165
430	125	165
431	125	164
432	125	164
433	125	164
434	126	163
435	126	163
436	126	163
437	127	162
438	127	162
439	127	162
440	127	162
441	128	161
442	128	161
443	128	161
444	129	160
445	129	160
446	129	160
447	129	160
448	130	159
449	130	159
450	130	159
451	131	158
452	131	158
453	131	158
454	131	158
455	132	157
456	132	157
457	132	157
458	133	156
459	133	156
460	133	156
461	134	156
462	134	155
463	134	155
464	134	155
465	135	155
466	135	154
467	135	154
468	136	154
469	136	153
470	136	153
471	136	153
472	137	152
473	137	152
474	137	152
475	137	151
476	138	151
477	138	151
478	138	151
479	139	150
480	139	150
481	139	150
482	140	149
483	140	149
484	140	149
485	140	149
486	141	148
487	141	148
488	141	148
489	141	147
490	142	147
491	142	147
492	142	146
493	143	146
494	143	146
495	143	145
496	143	145
497	144	145
498	144	145
499	144	144
500	145	144
501	145	144
502	145	143
503	145	143
504	146	143
505	146	142
506	146	142
507	146	142
508	147	142
509	147	141
510	147	141
511	148	141
512	148	140
513	148	140
514	149	140
515	149	140
516	149	139
517	149	139
518	150	139
519	150	138
520	150	138
521	150	138
522	151	137
523	151	137
524	151	137
525	151	136
526	152	136
527	152	136
528	152	136
529	153	135
530	153	135
531	153	135
532	153	134
533	154	134
534	154	134
535	154	133
536	154	133
537	155	133
538	155	133
539	155	132
540	156	132
541	156	132
542	156	131
543	156	131
544	157	131
545	157	130
546	157	130
547	158	130
548	158	130
549	158	129
550	158	129
551	159	129
552	159	129
553	159	128
554	160	128
555	160	128
556	160	127
557	161	127
558	161	127
559	161	127
560	161	126
561	162	126
562	162	126
563	162	125
564	163	125
565	163	125
566	163	124
567	163	124
568	164	124
569	164	124
570	164	123
571	165	123
572	165	123
573	165	122
574	166	122
575	166	122
576	166	122
577	166	121
578	167	121
579	167	121
580	167	120
581	168	120
582	168	120
583	168	120
584	168	119
585	169	119
586	169	119
587	169	119
588	170	118
589	170	118
590	170	118
591	171	117
592	171	117
593	171	117
594	171	117
595	172	116
596	172	116
597	172	116
598	173	115
599	173	115
600	173	115
601	173	114
602	174	114
603	174	114
604	174	114
605	175	113
606	175	113
607	175	113
608	175	112
609	176	112
610	176	112
611	176	112
612	177	111
613	177	111
614	177	111
615	177	110
616	178	110
617	178	110
618	178	110
619	179	109
620	179	109
621	179	109
622	179	108
623	180	108
624	180	108
625	180	108
626	181	107
627	181	107
628	181	107
629	182	106
630	182	106
631	182	106
632	183	106
633	183	105
634	183	105
635	183	105
636	184	104
637	184	104
638	184	104
639	184	104
640	185	103
641	185	103
642	186	103
643	186	103
644	186	102
645	187	102
646	187	102
647	187	101
648	187	101
649	188	101
650	188	101
651	188	100
652	189	100
653	189	100
654	189	99
655	189	99
656	190	99
657	190	99
658	190	98
659	191	98
660	191	98
661	191	97
662	192	97
663	192	97
664	192	97
665	193	96
666	193	96
667	193	96
668	193	95
669	194	95
670	194	95
671	194	95
672	194	94
673	195	94
674	195	94
675	195	93
676	196	93
677	196	93
678	196	93
679	197	92
680	197	92
681	197	92
682	197	91
683	198	91
684	198	91
685	198	90
686	199	90
687	199	90
688	199	90
689	200	89
690	200	89
691	200	89
692	200	89
693	201	88
694	201	88
695	201	88
696	202	87
697	202	87
698	202	87
699	203	87
700	203	86
701	203	86
702	203	86
703	204	85
704	204	85
705	204	85
706	204	84
707	205	84
708	205	84
709	205	84
710	206	83
711	206	83
712	206	83
713	207	82
714	208	82
715	208	82
716	208	82
717	208	82
718	209	81
719	209	81
720	209	81
721	210	80
722	210	80
723	210	80
724	211	80
725	211	79
726	211	79
727	211	79
728	212	78
729	212	78
730	212	78
731	213	78
732	213	77
733	213	77
734	213	77
735	214	76
736	214	76
737	214	76
738	214	75
739	215	75
740	215	75
741	215	75
742	216	74
743	216	74
744	216	74
745	216	73
746	217	73
747	217	73
748	217	72
749	218	72
750	218	72
751	218	72
752	218	71
753	219	71
754	219	71
755	219	70
756	219	70
757	220	70
758	220	70
759	220	69
760	221	69
761	221	69
762	221	68
763	222	68
764	222	68
765	222	68
766	223	67
767	223	67
768	223	67
769	223	66
770	224	66
771	224	66
772	224	66
773	225	65
774	225	65
775	225	65
776	225	64
777	226	64
778	226	64
779	226	63
780	227	63
781	227	63
782	227	63
783	228	62
784	228	62
785	228	62
786	228	61
787	229	61
788	229	61
789	229	61
790	230	60
791	230	60
792	230	60
793	230	59
794	231	59
795	231	59
796	231	59
797	232	58
798	232	58
799	232	58
800	233	57
801	233	57
802	233	57
803	233	57
804	234	56
805	234	56
806	234	56
807	234	55
808	235	55
809	235	55
810	235	54
811	236	54
812	236	54
813	236	54
814	237	53
815	237	53
816	237	53
817	237	52
818	238	52
819	238	52
820	238	52
821	239	51
822	239	51
823	239	51
824	239	50
825	240	50
826	240	50
827	240	50
828	241	49
829	241	49
830	241	49
831	241	48
832	242	48
833	242	48
834	242	47
835	243	47
836	243	47
837	243	47
838	244	46
839	244	46
840	244	46
841	244	45
842	245	45
843	245	45
844	245	45
845	246	44
846	246	44
847	246	44
848	246	43
849	247	43
850	247	43
851	247	43
852	248	42
853	248	42
854	248	42
855	249	41
856	249	41
857	249	41
858	250	41
859	250	40
860	250	40
861	250	40
862	251	39
863	251	39
864	251	39
865	251	38
866	252	38
867	252	38
868	252	38
869	253	37
870	253	37
871	253	37
872	254	36
873	254	36
874	254	36
875	255	36
876	255	35
877	255	35
878	255	35
879	256	34
880	256	34
881	256	34
882	256	34
883	257	33
884	257	33
885	257	33
886	258	32
887	258	32
888	258	32
889	259	32
890	259	31
891	259	31
892	259	31
893	260	30
894	260	30
895	260	30
896	261	30
897	262	29
898	262	29
899	262	29
900	262	28
901	263	28
902	263	28
903	263	28
904	264	27
905	264	27
906	264	27
907	264	26
908	265	26
909	265	26
910	265	25
911	266	25
912	266	25
913	266	25
914	266	24
915	267	24
916	267	24
917	267	23
918	267	23
919	268	23
920	268	23
921	268	22
922	269	22
923	269	22
924	269	21
925	269	21
926	270	21
927	270	20
928	270	20
929	271	20
930	271	20
931	271	19
932	271	19
933	272	19
934	272	18
935	272	18
936	272	18
937	273	18
938	273	17
939	273	17
940	274	17
941	274	16
942	274	16
943	274	16
944	275	16
945	275	15
946	275	15
947	276	15
948	276	14
949	276	14
950	277	14
951	277	13
952	277	13
953	278	13
954	279	13
955	279	12
956	279	12
957	280	12
958	280	11
959	280	11
960	280	11
961	281	11
962	281	10
963	281	10
964	282	10
965	282	9
966	282	9
967	283	9
968	283	9
969	283	8
970	283	8
971	284	8
972	284	7
973	284	7
